Nombre,Precio,Autor,Imagen
Atlas Ilustrado De Las Flores De Bulbos,$10.797,VARIOS AUTORES,"https://www.antartica.cl/media/catalog/product/9/7/9788430570324_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Harry Potter A Pop-Up Guide To Hogwarts,$199.990,"REINHART, MATTHEW","https://www.antartica.cl/media/catalog/product/9/7/9781683836803_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Animales De Mar (Texturas),$9.990,VARIOS AUTORES,"https://www.antartica.cl/media/catalog/product/9/7/9788467791839_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Ferrari. Un Clasico,$29.990,"LABAN, BRIAN","https://www.antartica.cl/media/catalog/product/9/7/9788467776461_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Animales Del Mar (Libro Linterna),$17.990,VARIOS AUTORES,"https://www.antartica.cl/media/catalog/product/9/7/9788467744057_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Estuche Sombra Y Hueso,$70.000,"BARDUGO, LEIGH","https://www.antartica.cl/media/catalog/product/9/7/9788418002526_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Espacio. Descubre El Mundo,$19.990,VARIOS AUTORES,"https://www.antartica.cl/media/catalog/product/9/7/9788467793253_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Atlas. Antiguas Civilizaciones,$17.990,"ROVETTA, IVAN","https://www.antartica.cl/media/catalog/product/9/7/9788467798777_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Harry Potter And The Sorcerer's Stone (Harry Potter #1),$16.990,"ROWLING, JOANNE K.","https://www.antartica.cl/media/catalog/product/9/7/9781338878929_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Harry Potter Film Vault The Complete Series,$159.990,"REVENSON, JODY","https://www.antartica.cl/media/catalog/product/9/7/9781647221089_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Spy X Family #11,$14.990,"ENDO, TETSUYA","https://www.antartica.cl/media/catalog/product/9/7/9788419916303_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Komi-San No Puede Comunicarse #11,$21.990,TOMOHITO ODA,"https://www.antartica.cl/media/catalog/product/9/7/9788410007437_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Tokyo Revengers #16,$24.990,"WAKUI, KEN","https://www.antartica.cl/media/catalog/product/9/7/9788467963502_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Tokyo Revengers #15,$24.990,"WAKUI, KEN","https://www.antartica.cl/media/catalog/product/9/7/9788467963496_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Tokyo Revengers #14,$24.990,"WAKUI, KEN","https://www.antartica.cl/media/catalog/product/9/7/9788467960143_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Spy X Family #5,$14.990,"ENDO, TETSUYA","https://www.antartica.cl/media/catalog/product/9/7/9788418645105_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Spy X Family #4,$14.990,"ENDO, TETSUYA","https://www.antartica.cl/media/catalog/product/9/7/9788418450976_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Spy X Family #12,$14.990,"ENDO, TETSUYA","https://www.antartica.cl/media/catalog/product/9/7/9788410113558_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Spy X Family #10,$14.990,"ENDO, TETSUYA","https://www.antartica.cl/media/catalog/product/9/7/9788419730534_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Sorano Y Hara,$14.990,"NAKAMURA, ASUMIKO","https://www.antartica.cl/media/catalog/product/9/7/9788416188246_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Isadora Moon Va Al Parque De Atracciones,$12.000,"MUNCASTER, HARRIET","https://www.antartica.cl/media/catalog/product/9/7/9786287525764_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Five Nights At Freddys.  El Parque De Bolas,$17.000,"CAWTHON, SCOTT","https://www.antartica.cl/media/catalog/product/9/7/9789588763897_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Yunis Y Los Cien Mundos #1. Natal,$16.000,"SUÁREZ, I.G.","https://www.antartica.cl/media/catalog/product/9/7/9788419275332_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Mitos Y Leyendas Del Cielo Y Las Estrellas,$15.800,"ARROWSMITH, CLAIRE","https://www.antartica.cl/media/catalog/product/9/7/9789562574723_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Como Sobrevivir Al Cole 1. Mi Mejor Amiga Invisible,$12.000,"SHEPARD, SARA","https://www.antartica.cl/media/catalog/product/9/7/9788427237070_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Rescatadoras De Unicornios 2,$15.000,"PUNSET, ANA","https://www.antartica.cl/media/catalog/product/9/7/9788419501356_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Percy Jackson Y El Caliz De Los Dioses (Percy Jackson Dioses Del Olimpo #4),$16.000,"RIORDAN, RICK","https://www.antartica.cl/media/catalog/product/9/7/9788419275455_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Mafalda Para Niñas Y Niños,$16.000,QUINO,"https://www.antartica.cl/media/catalog/product/9/7/9788426426000_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Harry Potter Y El Prisionero De Azkaban (3) (TD),$56.000,"ROWLING, JOANNE K.","https://www.antartica.cl/media/catalog/product/9/7/9788419275202_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Diario De Nikki #15. Aventura En Paris,$17.000,"RUSSELL, RACHEL RENNE","https://www.antartica.cl/media/catalog/product/9/7/9786287514836_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Autoboyography. Historia De Un Chico,$19.490,"LAUREN, CHRISTINA","https://www.antartica.cl/media/catalog/product/9/7/9786313001040_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Twisted Lies (Twisted #4),$24.900,"HUANG, ANA","https://www.antartica.cl/media/catalog/product/9/7/9789566145721_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Libera Tus Sombras,$18.900,"BRAMBLETT, KELLY","https://www.antartica.cl/media/catalog/product/9/7/9789569958182_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Letra Pequeña (The Fine Print),$26.900,"ASHER, LAUREN","https://www.antartica.cl/media/catalog/product/9/7/9789569995552_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Manifiesto Para Niñas Superpoderosas,$14.000,"DE UGARTE LOPEZ, NEREA","https://www.antartica.cl/media/catalog/product/9/7/9789566184645_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Five Nights At Freddys. Ojos De Plata (Novela Grafica),$17.000,"CAWTHON, SCOTT","https://www.antartica.cl/media/catalog/product/9/7/9788419743473_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Estrecho Sendero Entre Deseos,$16.000,"ROTHFUSS, PATRICK","https://www.antartica.cl/media/catalog/product/9/7/9789566129691_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
De Socrates A Netflix,$17.900,"LEWIS, CLAUDIA","https://www.antartica.cl/media/catalog/product/9/7/9789564085050_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Romper El Hielo,$20.000,"GRACE, HANNAH","https://www.antartica.cl/media/catalog/product/9/7/9789566205999_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Quiero Comerme Tu Pancreas,$17.900,"SUMINO, YORU","https://www.antartica.cl/media/catalog/product/9/7/9789564085012_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Cumbres Borrascosas,$11.900,"BRONTE, EMILY","https://www.antartica.cl/media/catalog/product/9/7/9789566180258_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
365 Cuentos Y Rimas Para La Hora De Dormir,$13.800,"BAKER, ANNE","https://www.antartica.cl/media/catalog/product/9/7/9781680528718_1.png?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300&format=jpeg"
Cronica De Una Muerte Anunciada,$11.000,"GARCIA MARQUEZ, GABRIEL","https://www.antartica.cl/media/catalog/product/9/7/9789588886176_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
La Interpretacion De Los Sueños (TD),$16.990,"FREUD, SIGMUND","https://www.antartica.cl/media/catalog/product/9/7/9788497945486_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Principito,$23.990,"DE SAINT-EXUPERY, ANTOINE","https://www.antartica.cl/media/catalog/product/9/7/9789561236745_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
El Perro De Los Baskerville,$8.800,"CONAN DOYLE, ARTHUR","https://www.antartica.cl/media/catalog/product/9/7/9788491055389_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Divina Comedia,$26.990,"ALIGHIERI, DANTE","https://www.antartica.cl/media/catalog/product/9/7/9788417477677_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Obras Esenciales De H.P. Lovecraft,$15.990,"LOVECRAFT, H. P.","https://www.antartica.cl/media/catalog/product/9/7/9788417928834_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
H.P. Lovecraft. Narrativa Completa,$29.990,"LOVECRAFT, H. P.","https://www.antartica.cl/media/catalog/product/9/7/9788417477646_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
En Las Montañas De La Locura,$10.900,"LOVECRAFT, H. P.","https://www.antartica.cl/media/catalog/product/9/7/9789566180166_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
Alicia En El Pais De Las Maravillas. Alicia A Traves Del Espejo,$16.990,"CARROLL, LEWIS","https://www.antartica.cl/media/catalog/product/9/7/9788497944748_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=300&width=240&canvas=240:300"
