Title,Author,Price,Link,ISBN
UNA SUERTE PEQUEÑA,Claudia Piñeiro,15000,https://feriachilenadellibro.cl/producto/9788420403649-una-suerte-pequena/,9788420403649
SOL DE SANGRE,Jo Nesbo,12000,https://feriachilenadellibro.cl/producto/9789563256420-sol-de-sangre/,9789563256420
SANGRE EN LA NIEVE,Jo Nesbo,12000,https://feriachilenadellibro.cl/producto/9789563256437-sangre-en-la-nieve/,9789563256437
REY DE PICAS,Joyce Carol Oates,17000,https://feriachilenadellibro.cl/producto/9789563844290-rey-de-picas/,9789563844290
NOTICIA DE UN SECUESTRO,Gabriel Garcia Marquez,12000,https://feriachilenadellibro.cl/producto/9789563256390-noticia-de-un-secuestro/,9789563256390
LA FIESTA DEL CHIVO,Mario Vargas Llosa,22000,https://feriachilenadellibro.cl/producto/9788420434643-la-fiesta-del-chivo/,9788420434643
LA CASA VERDE,Mario Vargas Llosa,19000,https://feriachilenadellibro.cl/producto/9788420476384-la-casa-verde/,9788420476384
ERAMOS UNOS NIÑOS,Patti Smith,12000,https://feriachilenadellibro.cl/producto/9789566058878-eramos-unos-ninos/,9789566058878
EL GENERAL EN SU LABERINTO,Gabriel Garcia Marquez,12000,https://feriachilenadellibro.cl/producto/9789563256406-el-general-en-su-laberinto/,9789563256406
CUENTOS REUNIDOS : CYNTHIA OZICK,Cynthia Ozick,26000,https://feriachilenadellibro.cl/producto/9788426426208-cuentos-reunidos-cynthia-ozick/,9788426426208
CUENTOS COMPLETOS I : JULIO CORTAZAR,Julio Cortazar,25000,https://feriachilenadellibro.cl/producto/9788420477725-cuentos-completos-i-julio-cortazar/,9788420477725
BAHIA DE LOS MISTERIOS,Roberto Ampuero,17000,https://feriachilenadellibro.cl/producto/9789563256444-bahia-de-los-misterios/,9789563256444
LOBA NEGRA,Juan Gomez-Jurado,23000,https://feriachilenadellibro.cl/producto/9789566205968-loba-negra/,9789566205968
UNA FAMILIA ANORMAL : Y LA CAPA SUPERPODEROSA,Lyna Vallejos,12000,https://feriachilenadellibro.cl/producto/9789877364262-una-familia-anormal-y-la-capa-superpoderosa/,9789877364262
UN MUNDO SIN FIN,Ken Follett,19000,https://feriachilenadellibro.cl/producto/9789588820156-un-mundo-sin-fin/,9789588820156
UN AÑO EN EL JARDIN,Clara Billoch,27000,https://feriachilenadellibro.cl/producto/9789876374842-un-ano-en-el-jardin/,N/A
TRACE: EXPERTO EN CIENCIAS FORENSES 4,Kei Koga,14900,https://feriachilenadellibro.cl/producto/9788418524769-trace-experto-en-ciencias-forenses-4/,9788418524769
¿QUIEN MATO A PALOMINO MOLERO?,Mario Vargas Llosa,12000,https://feriachilenadellibro.cl/producto/9788490625668-quien-mato-a-palomino-molero/,9788490625668
LOS PILARES DE LA TIERRA,Ken Follett,19000,https://feriachilenadellibro.cl/producto/9789586393003-los-pilares-de-la-tierra/,9789586393003
LOS CUADERNOS DE DON RIGOBERTO,Mario Vargas Llosa,12000,https://feriachilenadellibro.cl/producto/9788490625903-los-cuadernos-de-don-rigoberto/,9788490625903
LAS RECETAS DE UME 1,Ai Nimoda,13900,https://feriachilenadellibro.cl/producto/9788418524424-las-recetas-de-ume-1/,9788418524424
LAS CUATRO ARTES,Denis Criado,24900,https://feriachilenadellibro.cl/producto/9788411212281-las-cuatro-artes/,9788411212281
LAS AMAS DE LLAVES,Alex Hay,29900,https://feriachilenadellibro.cl/producto/9788419235084-las-amas-de-llaves/,9788419235084
LA SANGRE DEL OLIMPO (LOS HEROES DEL OLIMPO 5),Rick Riordan,19000,https://feriachilenadellibro.cl/producto/9788490431276-la-sangre-del-olimpo-los-heroes-del-olimpo-5/,9788490431276
LA ORGIA PERPETUA,Mario Vargas Llosa,12000,https://feriachilenadellibro.cl/producto/9788490626177-la-orgia-perpetua/,9788490626177
LA MAGIA DE SER TU MISMO,Osho,11000,https://feriachilenadellibro.cl/producto/9788490328460-la-magia-de-ser-tu-mismo/,9788490328460
