Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories,AvgRating,RatingsCount
Cómo dibujar cosas lindas,Angela Nguyen,12420,https://contrapunto.cl/infantil/1225-como-dibujar-cosas-lindas.html,9789562571715,,,,,,
Mi primer diccionario ilustrado,Maxine Davenport y Cindy Roberts,8820,https://contrapunto.cl/prelectores/2089-mi-primer-diccionario-ilustrado.html,9789562571562,,,,,,
Mis primeros animales de la granja,Liz Forester,10620,https://contrapunto.cl/prelectores/8185-mis-primeros-animales-de-la-granja.html,9789562572057,,,,,,
El libro de los porqués,Irene Lara,16020,https://contrapunto.cl/atlas-y-enciclopedias-infantiles/1990-libro-de-los-porques-el-color.html,9788494274732,,,,,,
Babies Love - Números,Anna y Daniel Clark,5580,https://contrapunto.cl/prelectores/8187-babies-love-numeros.html,9781680528428,"Introduce your baby or toddler to counting and numbers in this adorable lift-a-flap board book. Simple sentences reinforce future language structure while grasping and lifting the sturdy flaps helps develop fine motor skills. A perfect first numbers book! Welcome to the world little one! Come explore this numbers Lift-a-Flap board book filled with surprises Perfectly sized for little hands and fingers to open and close the flaps. 6 chunky and sturdy flaps are extra strong so your little one can open and close again and again Surprise and delight baby with bright artwork and special treats under each flap Collect all the books in the Babies Love series. From colors and animals, to first words and holidays, the Babies Love Chunky Lift-a-Flap series is a great introduction to reading with cheerful, contemporary, and whimsical illustrations and sturdy, easy-to-lift flaps This edition is printed in Spanish",2020-01-14,http://books.google.com/books/content?id=TLGuyQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Fiction'],,
La bailarina de Auschwitz,Edith Eger,17910,https://contrapunto.cl/categorias/596-la-bailarina-de-auschwitz.html,9789563604283,,,,,,
Babies Love - Primeras palabras,Colección: Babies love,5580,https://contrapunto.cl/prelectores/2099-babies-love-primeras-palabras.html,9781680526172,"Introduce your baby or toddler to ten first words, including dog, ball, bug, cat, and more in this adorable lift-a-flap board book. Simple sentences reinforce future language structure while grasping and lifting the sturdy flaps helps develop fine motor skills. A perfect first book! Welcome to the world little one! Come explore our First Words Lift-a-Flap board book filled with surprises Perfectly sized for little hands and fingers to open and close the flaps. 6 chunky and sturdy flaps are extra strong so your little one can open and close again and again Surprise and delight baby with bright artwork and special treats under each flap Collect all the books in the Babies Love series. From colors and animals to first words and holidays, the Babies Love Chunky Lift-a-Flap series is a great introduction to reading with cheerful, contemporary, and whimsical illustrations and sturdy, easy-to-lift flaps",2019-04,http://books.google.com/books/content?id=mJLqwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Fiction'],,
Babies Love - Animales,Colección: Babies love,5580,https://contrapunto.cl/prelectores/2097-babies-love-animales.html,9781680526189,"Introduce your baby or toddler to animals and their babies, including cats and kittens, pigs and piglets, dogs and puppies, and more in this adorable lift-a-flap board book. Simple sentences reinforce future language structure while grasping and lifting the sturdy flaps helps develop fine motor skills. A perfect first book! Welcome to the world little one! Come explore our Animals Lift-a-Flap board book filled with surprises Perfectly sized for little hands and fingers to open and close the flaps. 6 chunky and sturdy flaps are extra strong so your little one can open and close again and again Surprise and delight baby with bright artwork and special treats under each flap Collect all the books in the Babies Love series. From colors and animals, to first words and holidays, the Babies Love Chunky Lift-a-Flap series is a great introduction to reading with cheerful, contemporary, and whimsical illustrations and sturdy, easy-to-lift flaps",2019-04,http://books.google.com/books/content?id=bbnfwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Fiction'],,
La banda de Pica Pau,Colección: Diy,26820,https://contrapunto.cl/crochet/2305-diy-banda-de-pica-pau-la.html,9788425230769,"El nuevo libro de la banda de muñecos de crochet más famosa ¡Tienes en tus manos el libro para recrear a los personajes de la banda de crochet más famosa y divertida! Sus protagonistas son Pedro Von Dito Cerdito, Audrey Gacela, Hugo Murciélago, Gertrudis Dragona y los demás integrantes de Pica Pau inventados por Yan Schenkel, la diseñadora de personajes más ingeniosa y ocurrente del mundo craft. Técnicas básicas: incluye lo fundamental para iniciarte en el crochet, desde los puntos habituales hasta las técnicas más imprescindibles para tejer miniaturas. ¡Un libro ideal tanto para crochetistas principiantes como experimentados! 20 personajes: un explorador, una escritora gastronómica, un urbanita neorural, una marinera... Empápate del universo Pica Pau y crea veinte animales de crochet cada uno con su original historia. ¡Abrirás las puertas a tu propia imaginación! Patrones originales: Schenkel comparte con todos nosotros sus conocimientos, secretos e información detallada, punto a punto y foto a foto, de cada patrón. ¡Imposible perderse! Recreate the characters from the Pica Pau universe of fun and famous crochet dolls! This book includes all the basic crochet instructions and techniques to make your own mini versions of Pedro Von Dito Cerdito, Audrey Gacela, and more.",2020-03,http://books.google.com/books/content?id=GsJltAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Art'],,
Cuentos para niños de 2 años,Colección: Cuentos por edad,7920,https://contrapunto.cl/prelectores/8795-coleccion-de-cuentos-para-ninos-de-2-anos.html,9781680528732,"""Snuggle up together and share classic fairy tales and nursery rhymes with your toddler. Carefully chosen for 2-year-olds, they are easy to read, with enchanting illustrations filling every page. Enjoy the tales of The Three Little Pigs and Goldilocks along with exciting new stories and rhymes to treasure, in a sturdy, collectible format with a fun cut-out cover.""--Publisher description",2019-12-17,http://books.google.com/books/content?id=eUm6yQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Fiction'],,
