Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories
UNA SUERTE PEQUEÑA,Claudia Piñeiro,15000,https://feriachilenadellibro.cl/producto/9788420403649-una-suerte-pequena/,9788420403649,,2015-05-02,http://books.google.com/books/content?id=bgxargEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
SOL DE SANGRE,Jo Nesbo,12000,https://feriachilenadellibro.cl/producto/9789563256420-sol-de-sangre/,9789563256420,,,,
SANGRE EN LA NIEVE,Jo Nesbo,12000,https://feriachilenadellibro.cl/producto/9789563256437-sangre-en-la-nieve/,9789563256437,,,,
REY DE PICAS,Joyce Carol Oates,17000,https://feriachilenadellibro.cl/producto/9789563844290-rey-de-picas/,9789563844290,,,,
NOTICIA DE UN SECUESTRO,Gabriel Garcia Marquez,12000,https://feriachilenadellibro.cl/producto/9789563256390-noticia-de-un-secuestro/,9789563256390,,,,
LA FIESTA DEL CHIVO,Mario Vargas Llosa,22000,https://feriachilenadellibro.cl/producto/9788420434643-la-fiesta-del-chivo/,9788420434643,,2011,,
LA CASA VERDE,Mario Vargas Llosa,19000,https://feriachilenadellibro.cl/producto/9788420476384-la-casa-verde/,9788420476384,,1932,,['Juvenile Nonfiction']
ERAMOS UNOS NIÑOS,Patti Smith,12000,https://feriachilenadellibro.cl/producto/9789566058878-eramos-unos-ninos/,9789566058878,,,,
EL GENERAL EN SU LABERINTO,Gabriel Garcia Marquez,12000,https://feriachilenadellibro.cl/producto/9789563256406-el-general-en-su-laberinto/,9789563256406,,,,
CUENTOS REUNIDOS : CYNTHIA OZICK,Cynthia Ozick,26000,https://feriachilenadellibro.cl/producto/9788426426208-cuentos-reunidos-cynthia-ozick/,9788426426208,,,,['Juvenile Nonfiction']
CUENTOS COMPLETOS I : JULIO CORTAZAR,Julio Cortazar,25000,https://feriachilenadellibro.cl/producto/9788420477725-cuentos-completos-i-julio-cortazar/,9788420477725,,,,['Literary Criticism']
BAHIA DE LOS MISTERIOS,Roberto Ampuero,17000,https://feriachilenadellibro.cl/producto/9789563256444-bahia-de-los-misterios/,9789563256444,,,,
LOBA NEGRA,Juan Gomez-Jurado,23000,https://feriachilenadellibro.cl/producto/9789566205968-loba-negra/,9789566205968,,,,
